03/25 00:57:57 - OpenCompass - INFO - Task [opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-16-bit-quantized/lukaemon_mmlu_professional_law_0]
2024-03-25 00:57:58.038754: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-25 00:57:58.856162: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
03/25 00:58:01 - OpenCompass - WARNING - pad_token_id is not set for the tokenizer.
03/25 00:58:01 - OpenCompass - WARNING - Using eos_token_id </s> as pad_token_id.

Loading checkpoint shards:   0%|                                                                                                                                                                       | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|█████████████████████████████████████████████████████                                                                                                          | 1/3 [00:01<00:03,  1.65s/it]
Loading checkpoint shards:  67%|██████████████████████████████████████████████████████████████████████████████████████████████████████████                                                     | 2/3 [00:03<00:01,  1.66s/it]
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.61s/it]
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.62s/it]
03/25 00:58:10 - OpenCompass - INFO - Start inferencing [opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-16-bit-quantized/lukaemon_mmlu_professional_law_0]

  0%|                                                                                                                                                                                                | 0/767 [00:00<?, ?it/s]
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 767/767 [00:00<00:00, 2929900.88it/s]
[2024-03-25 00:58:15,357] [opencompass.openicl.icl_inferencer.icl_ppl_inferencer] [INFO] Calculating PPL for prompts labeled 'A'

  0%|                                                                                                                                                                                                | 0/384 [00:00<?, ?it/s]
  0%|▍                                                                                                                                                                                       | 1/384 [00:02<15:05,  2.37s/it]
  1%|▉                                                                                                                                                                                       | 2/384 [00:03<10:26,  1.64s/it]
  1%|█▍                                                                                                                                                                                      | 3/384 [00:04<08:48,  1.39s/it]
  1%|█▉                                                                                                                                                                                      | 4/384 [00:05<08:09,  1.29s/it]
  1%|██▍                                                                                                                                                                                     | 5/384 [00:06<07:47,  1.23s/it]
  2%|██▉                                                                                                                                                                                     | 6/384 [00:08<07:59,  1.27s/it]
  2%|███▎                                                                                                                                                                                    | 7/384 [00:09<07:52,  1.25s/it]
  2%|███▊                                                                                                                                                                                    | 8/384 [00:10<07:28,  1.19s/it]
  2%|████▎                                                                                                                                                                                   | 9/384 [00:11<07:20,  1.17s/it]
  3%|████▊                                                                                                                                                                                  | 10/384 [00:12<07:11,  1.15s/it]
  3%|█████▏                                                                                                                                                                                 | 11/384 [00:13<07:25,  1.19s/it]
  3%|█████▋                                                                                                                                                                                 | 12/384 [00:15<07:19,  1.18s/it]
  3%|██████▏                                                                                                                                                                                | 13/384 [00:16<07:22,  1.19s/it]
  4%|██████▋                                                                                                                                                                                | 14/384 [00:17<07:14,  1.17s/it]
  4%|███████▏                                                                                                                                                                               | 15/384 [00:18<07:13,  1.18s/it]
  4%|███████▋                                                                                                                                                                               | 16/384 [00:19<07:08,  1.16s/it]
  4%|████████                                                                                                                                                                               | 17/384 [00:21<07:20,  1.20s/it]
  5%|████████▌                                                                                                                                                                              | 18/384 [00:22<07:25,  1.22s/it]
  5%|█████████                                                                                                                                                                              | 19/384 [00:23<07:27,  1.23s/it]
  5%|█████████▌                                                                                                                                                                             | 20/384 [00:24<07:13,  1.19s/it]
  5%|██████████                                                                                                                                                                             | 21/384 [00:25<07:01,  1.16s/it]
  6%|██████████▍                                                                                                                                                                            | 22/384 [00:26<06:47,  1.13s/it]
  6%|██████████▉                                                                                                                                                                            | 23/384 [00:27<06:48,  1.13s/it]
  6%|███████████▍                                                                                                                                                                           | 24/384 [00:29<07:00,  1.17s/it]
  7%|███████████▉                                                                                                                                                                           | 25/384 [00:30<07:04,  1.18s/it]
  7%|████████████▍                                                                                                                                                                          | 26/384 [00:31<07:27,  1.25s/it]
  7%|████████████▊                                                                                                                                                                          | 27/384 [00:33<07:18,  1.23s/it]
  7%|█████████████▎                                                                                                                                                                         | 28/384 [00:34<07:08,  1.20s/it]
  8%|█████████████▊                                                                                                                                                                         | 29/384 [00:35<07:07,  1.21s/it]
  8%|██████████████▎                                                                                                                                                                        | 30/384 [00:36<07:13,  1.22s/it]
  8%|██████████████▊                                                                                                                                                                        | 31/384 [00:37<07:17,  1.24s/it]
  8%|███████████████▎                                                                                                                                                                       | 32/384 [00:39<07:01,  1.20s/it]
  9%|███████████████▋                                                                                                                                                                       | 33/384 [00:40<07:14,  1.24s/it]
  9%|████████████████▏                                                                                                                                                                      | 34/384 [00:41<07:07,  1.22s/it]
